,run_id,model,fitness
0,0,HC,1.0153969863807593
1,0,SA,1.654716024340771
2,0,GA,1.5637177629672558
3,1,HC,1.0413590263691683
4,1,SA,1.6574311793682992
5,1,GA,1.5480947551434368
6,2,HC,1.0713865546218488
7,2,SA,1.6593451173572877
8,2,GA,1.5808012170385397
9,3,HC,1.2296334395827295
10,3,SA,1.6455722978846712
11,3,GA,1.5750594030715734
12,4,HC,1.1036482179078528
13,4,SA,1.649716024340771
14,4,GA,1.5805766444508837
15,5,HC,1.0913952477542743
16,5,SA,1.660086931324254
17,5,GA,1.5409475514343671
18,6,HC,1.0235931614024918
19,6,SA,1.6562590553462764
20,6,GA,1.5648898869892784
21,7,HC,1.0823935091277892
22,7,SA,1.683058533758331
23,7,GA,1.585173862648508
24,8,HC,0.979540712836859
25,8,SA,1.6591756012749928
26,8,GA,1.549574036511156
27,9,HC,1.0616009852216748
28,9,SA,1.6450318748188932
29,9,GA,1.557179078527963
30,10,HC,1.0762489133584467
31,10,SA,1.6377745580991017
32,10,GA,1.564716024340771
33,11,HC,1.1214097363083166
34,11,SA,1.6382323964068388
35,11,GA,1.5311214140828746
36,12,HC,1.2147203709069836
37,12,SA,1.6456041727035642
38,12,GA,1.5198029556650248
39,13,HC,0.9413401912489132
40,13,SA,1.642316719791365
41,13,GA,1.533461315560707
42,14,HC,1.192984642132715
43,14,SA,1.6367168936540135
44,14,GA,1.6018038249782673
45,15,HC,0.9994305998261375
46,15,SA,1.627403651115619
47,15,GA,1.5787728194726167
48,16,HC,1.1802144305998261
49,16,SA,1.6200594030715734
50,16,GA,1.5360026079397275
51,17,HC,0.9965604172703565
52,17,SA,1.6935163720660678
53,17,GA,1.568630831643002
54,18,HC,0.898171544479861
55,18,SA,1.6475456389452334
56,18,GA,1.5325456389452334
57,19,HC,1.2428658359895683
58,19,SA,1.6473442480440452
59,19,GA,1.5679759490002898
60,20,HC,1.204898580121704
61,20,SA,1.6436033033903217
62,20,GA,1.524088669950739
63,21,HC,0.9362170385395538
64,21,SA,1.622261663286004
65,21,GA,1.5809750796870474
66,22,HC,0.9423703274413215
67,22,SA,1.6657736887858592
68,22,GA,1.520375253549696
69,23,HC,0.9218023761228631
70,23,SA,1.6616024340770794
71,23,GA,1.5502013909011882
72,24,HC,1.1612126919733412
73,24,SA,1.6340017386264851
74,24,GA,1.607060272384816
75,25,HC,1.0965517241379312
76,25,SA,1.6543451173572878
77,25,GA,1.546062011011301
78,26,HC,1.0693031005505649
79,26,SA,1.6618038249782672
80,26,GA,1.5499174152419588
81,27,HC,0.9321877716603885
82,27,SA,1.6832874529121995
83,27,GA,1.557687626774848
84,28,HC,1.0633961170675166
85,28,SA,1.6582323964068386
86,28,GA,1.536945812807882
87,29,HC,1.1096783541002606
88,29,SA,1.6650869313242538
89,29,GA,1.5236033033903216
